title,genre
Bowery at Midnight,Horror
Mr. Majestyk,Action
Warning Sign,Action
The Appaloosa,Western
The Deep,Adventure
The Abyss,Fantasy
Mail Order Bride,Western
Air America,Adventure
Airport '77,Action
Steel Dawn,Fantasy
Dawn at Socorro,Western
The Hanging Tree,Western
Nightwing,Horror
Alien Predator,Fantasy
The Hidden,Fantasy
Aliens,Fantasy
Romancing the Stone,Adventure
Run for Cover,Western
King Solomon's Mines,Adventure
Broken Arrow,Western
Colorado Territory,Western
Forever Amber,Adventure
Flesh and Blood,Adventure
Android,Fantasy
The Andromeda Strain,Fantasy
Almost an Angel,Fantasy
Scarlet Angel,Adventure
Neon City,Fantasy
Wings of the Apache,Action
Date with an Angel,Fantasy
The Eagle,Adventure
Gun Glory,Western
Lethal Weapon,Action
Lethal Weapon 2,Action
Dark Angel,Action
Comes a Horseman,Western
Tiger Claws,Action
Wyoming Mail,Adventure
Assassination,Action
The Stone Killer,Action
Gog,Fantasy
Total Recall,Fantasy
The Ewok Adventure,Fantasy
Omar Khayyam,Adventure
Plymouth Adventure,Adventure
Dodge City,Western
Escape to Burma,Adventure
It's Alive!,Horror
Cat People,Horror
Cat People,Horror
Thunder in the East,Adventure
Dances with Wolves,Western
Cherry 2000,Fantasy
Ten Wanted Men,Western
Bandolero!,Western
Yellowbeard,Adventure
Barquero!,Western
Ice Station Zebra,Adventure
Knock on any Door,Action
Beetlejuice,Fantasy
The Believers,Horror
Beauty and the Beast,Fantasy
Hello Again,Fantasy
The Black Stallion,Adventure
Blade Runner,Fantasy
Raise the Titanic!,Adventure
The Blob,Fantasy
Blue City,Action
The Hangman,Western
The Bravados,Western
Brenda Starr,Adventure
Maximum Overdrive,Horror
The Brood,Horror
The Buccaneer,Adventure
Bug,Fantasy
Near Dark,Horror
Die Hard 2,Action
To Catch a King,Adventure
Death Hunt,Adventure
Guns of Diablo,Western
The Call of the Wild,Adventure
Silver Lode,Western
Heaven's Gate,Western
St. Ives,Action
Captain Blood,Adventure
Captains Corageous,Adventure
Capricorn One,Fantasy
Virginia City,Western
Wagon Master,Western
The Hallelujah Trail,Western
Carrie,Horror
Evil Dead,Horror
The Horror Show,Horror
Catacombs,Horror
Catlow,Western
Bad Company,Western
Two Rode Together,Western
Flaming Feather,Western
Shane,Western
Passion,Adventure
Pale Rider,Western
The Long Riders,Western
The Other,Horror
Charley Varrick,Action
China O'Brien,Action
Chisum,Western
Christine,Horror
Circus World,Adventure
The Haunted Palace,Horror
Ghost Town,Western
City Beneath the Sea,Adventure
Class of 1999,Fantasy
Cocoon,Fantasy
Raw Deal,Action
Martial Law,Action
Martial Outlaw,Action
The Comancheros,Western
Commando,Action
Black Eye,Action
Conan the Barbarian,Fantasy
Conan the Destroyer,Fantasy
The Final Conflict,Horror
Congo Crossing,Adventure
How the West Was Won,Western
The Plainsman,Western
California Conquest,Adventure
Conquest of Space,Fantasy
Tip on a Dead Jockey,Adventure
Against All Flags,Adventure
Convoy,Adventure
Courage of Lassie,Adventure
Rope of Sand,Adventure
The Crimson Pirate,Adventure
Short Circuit,Fantasy
Jeremiah Johnson,Western
Will Penny,Western
Country,Adventure
Moonfleet,Adventure
Cowboy,Western
The Cowboys,Western
The Last Voyage,Action
D. A. R. Y. L.,Fantasy
From Noon till Three,Western
Dakota,Western
Red Heat,Action
Sergeant Rutledge,Western
Green Dolphin Street,Adventure
The Delta Force,Action
Ten Who Dared,Adventure
Night of the Creeps,Horror
'Doc',Western
In Old California,Adventure
The Ballad of Josie,Western
Wild Women,Western
Westward the Women,Western
The Glory Guys,Western
Double Impact,Action
Man of the West,Western
Bend of the River,Western
Deadly Friend,Horror
Dr. Cyclops,Horror
The Undefeated,Western
Bird on a Wire,Action
Gun Brothers,Western
Duel at Diablo,Western
Duel in the Sun,Western
The Scarlet Coat,Adventure
Second Chance,Adventure
Duffy,Adventure
Dune,Fantasy
Hard to Kill,Action
Tough Enough,Action
Edward Scissorhands,Fantasy
El Condor,Western
El Dorado,Western
El Paso,Western
Hercules in New York,Fantasy
Rescue Me,Action
Killing Streets,Adventure
Let's Get Harry,Adventure
The Exorcist,Horror
The Exorcist III,Horror
They Live,Horror
Evil Toons,Horror
Excalibur,Fantasy
Explorers,Fantasy
Phantom of the Opera,Horror
Heart Condition,Fantasy
A Distant Trumpet,Western
The Virgin Queen,Adventure
Cover-up,Action
At Sword's Point,Adventure
The Space Children,Fantasy
The Son of Sheik,Adventure
Son of Frankenstein,Horror
The Son of Kong,Fantasy
Son of Lassie,Adventure
Firefox,Action
Red River,Western
My Friend Flicka,Adventure
Florida Straits,Adventure
The Fog,Horror
The Emerald Forest,Adventure
Fort Massacre,Western
Invasion Force,Action
