title,genre
Geronimo,Western
Sub Zero,Action
Dragon Crusaders,Action
Nadja,Horror
Bad Biology,Horror
Haunt,Horror
Hello Again,Fantasy
Super,Action
Congo Crossing,Adventure
First Knight,Adventure
Cherry Falls,Horror
Invisible Invaders,Fantasy
The Mephisto Waltz,Horror
Underwater,Fantasy
The Last Hunt,Western
Big Jake,Western
Hollow Point,Action
One Tough Bastard,Action
The Blob,Fantasy
Ghost in the Machine,Horror
Enter the Ninja,Adventure
Undercurrent,Action
13 Slays Till X-Mas,Horror
Hangman's Curse ,Horror
Fool's Gold,Adventure
Rogues Gallery,Action
Highway to Hell,Horror
The Lost World,Adventure
The Power Within,Action
Day the World Ended,Fantasy
Extreme Prejudice,Action
Goodnight Mommy,Horror
Disturbing the Peace,Action
Bounty Killer,Action
After Earth,Fantasy
Idaho Transfer,Fantasy
Society,Horror
Gemini Man,Action
The Terror,Horror
Planet of the Apes,Fantasy
Phantasm,Fantasy
Many Rivers to Cross,Western
Carson City,Western
The Bamboo Saucer,Fantasy
The Unholy,Horror
The Lost World,Adventure
K 2,Adventure
Short Circuit,Fantasy
The Corpse Vanishes,Horror
Yellowbeard,Adventure
Gold of Seven Saints,Adventure
Run for the Money,Action
SuperFly,Action
The Black Swan,Adventure
Blind Fury,Action
Mr. Harrigan's Phone,Horror
Bride of the Gorilla,Adventure
Lethal Weapon 3,Action
The Spoilers,Adventure
Crash Point Zero,Action
The Power of Few,Action
The Giver,Fantasy
The White Buffalo,Adventure
The Space Between Us,Fantasy
Kim,Adventure
Jason Bourne,Action
Rush Hour 3,Action
Cast a Long Shadow,Western
Sniper 2,Action
Mother's Day,Horror
Catwoman,Fantasy
Futureworld,Fantasy
This Island Earth,Fantasy
Brahms: The Boy II,Horror
Captain from Castile,Adventure
Flaming Feather,Western
Fast & Furious 9,Action
Underworld Awakening,Action
Leprechaun 3,Horror
Phantasm 2,Horror
Rage at Dawn,Western
Omega Doom,Fantasy
The Exorcist,Horror
Man Without a Star,Western
The Double,Action
Ulzana's Raid,Western
The Mask of Zorro,Adventure
Endangered Species,Fantasy
American Kickboxer,Action
Badman's Territory,Western
Flash Gordon,Fantasy
Crash and Burn,Action
McQ,Action
The Devil's Tomb,Fantasy
The Ewok Adventure,Fantasy
Wonder Woman 1984,Action
Alien Abduction,Horror
Lord of Illusions,Horror
Sister Sister,Horror
Apache Rifles,Western
Comanche,Western
Love and a Bullet,Action
Starcrossed,Fantasy
House IV,Horror
Collateral Damage,Action
Wrath of the Titans,Action
Gunmen,Action
Superfly,Action
Piraña,Horror
Amityville 3-D,Horror
The Wild Angels,Action
The Believers,Horror
Final Descent,Action
The Unholy,Horror
Planet Terror,Horror
Saw IV,Horror
Sweetheart,Horror
The V Word,Horror
Child's Play 3,Horror
Nevada Smith,Western
Titanic,Action
Kristy,Horror
The Karate Kid III,Action
Toy Soldiers,Action
Son of Lassie,Adventure
Into the Sun,Action
The Expendables,Action
Season of the Witch,Adventure
Song of the South,Adventure
Knowing,Fantasy
Taken Heart,Action
Neon City,Fantasy
Mysterious Island,Fantasy
Age of Ice,Fantasy
Conan the Barbarian,Fantasy
When the Legends Die,Western
Deep Rising,Action
The Den,Horror
Hellgate,Western
The Stone Killer,Action
King Kong,Adventure
Fantastic Voyage,Fantasy
Snatchers,Horror
Wicked Blood,Action
The Dark Half,Horror
The Raiders,Western
Pulse,Horror
Mulan,Adventure
Escape from Absolom,Fantasy
Satanic Panic,Horror
Tron,Fantasy
Trick or Treat,Horror
Holiday Hell,Horror
Iron Eagle,Adventure
Man or Gun,Western
The Ape Man,Horror
Final Examination,Horror
Fear Clinic,Horror
Lights Out,Horror
Greenland,Action
Dr. Cyclops,Horror
Friday the 13th,Horror
Shockwave,Action
Demolition High,Action
Kiwi Safari,Adventure
Sudden Death,Action
The Hard Man,Western
Urban Legend,Horror
In Old California,Adventure
Midsommar,Horror
Mars Attacks!,Fantasy
Eve of Destruction,Fantasy
The Darkness,Horror
My Science Project,Fantasy
The Last Dragon,Action
The Toybox,Action
Yankee Pasha,Adventure
The Purge,Fantasy
Walk the Proud Land,Western
Eternals,Fantasy
Bubba Ho-tep,Horror
Snakes on a Plane,Action
Raton Pass,Western
Captain Pirate,Adventure
G-Force ,Fantasy
Kid Rodelo,Western
Tears of the Sun,Action
Non-Stop,Action
Raw Deal,Action
Canyon Passage,Western
Contact,Fantasy
The Leopard Man,Horror
Casper,Fantasy
Pursued,Western
End of Watch,Action
One Little Indian,Adventure
Charley Varrick,Action
Springfield Rifle,Western
Trilogy of Terror II,Horror
Derailed,Action
A Thunder of Drums,Western
The Day,Fantasy
Independents' Day,Action
Westbound,Western
Big Ass Spider,Fantasy
Fighting Caravans,Western
Red Heat,Action
Phantom of the Opera,Horror
Chuka,Western
Midnighters,Horror
Traitor,Action
The Seventh Day,Horror
End of a Gun,Action
Terror House,Horror
Honky Tonk Freeway,Action
Meteor Storm,Action
Ten Wanted Men,Western
The Sign of Zorro,Adventure
Bermuda Tentacles,Action
War Drums,Western
Bullwhip,Western
The Mummy Returns,Adventure
Insanitarium,Horror
The Craft,Fantasy
Monster Trucks,Action
This Means War,Action
Vice,Action
The Wizard of Gore,Horror
Hellbound,Action
Metal Tornado,Fantasy
Labyrinth,Fantasy
John Wick,Action
Gattaca,Fantasy
Red 2,Action
Monsterwolf,Horror
Red Scorpion,Action
Shutter,Horror
Evil Toons,Horror
Southbound,Horror
Mercy,Horror
Hurricane Smith,Adventure
Final Round,Action
The Yellow Mountain,Western
The Philly Kid,Action
Blood Diner,Horror
The Night Watchmen,Horror
Romeo Must Die,Action
Rapid Fire,Action
Ghost Town,Horror
The Monkey's Paw,Horror
The Outlaw,Western
Beyond the Law,Action
Tribute to a Bad Man,Western
V: The Final Battle,Fantasy
Night of the Lepus,Fantasy
Ghost Rider,Action
End of Days,Action
Dream Cruise,Horror
Knightriders,Adventure
All Hallows' Eve,Horror
Honest Thief,Action
Chato's Land,Western
Landspeed,Action
Enemy Mine,Fantasy
Horror Safari,Adventure
Venomous,Action
Insidious: Chapter 3,Horror
Atomic Twister,Action
Judge Dredd,Fantasy
Race with the Devil,Action
Friday the 13th,Horror
Peter Pan,Adventure
The Soldier,Action
Interrogation,Action
River Runs Red,Action
Child's Play 2,Horror
Deadly Friend,Horror
The Thompsons,Horror
Cutaway,Action
AE: Apocalypse Earth,Action
Godzilla vs. Kong,Fantasy
John Carter,Fantasy
The Last Push,Fantasy
The Time Travelers,Fantasy
The Woman,Horror
Quiet Cool,Action
Project Almanac,Fantasy
Twitches,Fantasy
The Fly II,Fantasy
A Knight's Tale,Adventure
Fortress,Fantasy
