title,genre
"['', 't', 'h', 'e', ' ', 's', 'p', 'i', 'r', 'a', 'l', ' ', 'r', 'o', 'a', 'd', '']",Adventure
"['', 'p', 'o', 's', 's', 'e', '']",Western
"['', 'w', 'y', 'o', 'm', 'i', 'n', 'g', ' ', 'm', 'a', 'i', 'l', '']",Adventure
"['', 's', 'c', 'r', 'e', 'a', 'm', '']",Horror
"['', 'b', 'i', 'o', 'n', 'i', 'c', ' ', 'e', 'v', 'e', 'r', ' ', 'a', 'f', 't', 'e', 'r', '?', '']",Fantasy
"['', 'm', 'a', 'c', 'h', 'e', 't', 'e', ' ', 'k', 'i', 'l', 'l', 's', '']",Action
"['', 'b', 'i', 'n', 'g', 'o', '']",Adventure
"['', 'w', 'a', 't', 'u', 's', 'i', '']",Adventure
"['', 'e', 'n', 'd', ' ', 'o', 'f', ' ', 'w', 'a', 't', 'c', 'h', '']",Action
"['', 't', 'h', 'e', ' ', 'b', 'i', 'g', ' ', 'c', 'o', 'u', 'n', 't', 'r', 'y', '']",Western
"['', 'r', 'e', 'd', ' ', 'n', 'o', 't', 'i', 'c', 'e', '']",Action
"['', 't', 'o', 'p', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'w', 'o', 'r', 'l', 'd', '']",Action
"['', 'o', 'n', ' ', 'd', 'e', 'a', 'd', 'l', 'y', ' ', 'g', 'r', 'o', 'u', 'n', 'd', '']",Adventure
"['', 'j', 'u', 'n', 'g', 'l', 'e', ' ', 'c', 'r', 'u', 'i', 's', 'e', '']",Adventure
"['', 'c', 'h', 'e', 'y', 'e', 'n', 'n', 'e', ' ', 'w', 'a', 'r', 'r', 'i', 'o', 'r', '']",Western
"['', 't', 'h', 'e', ' ', 'n', 'e', 't', ' ', '2', '.', '0', '']",Action
"['', 's', 'e', 't', 'u', 'p', '']",Action
"['', 'm', 'o', 'o', 'n', 'f', 'l', 'e', 'e', 't', '']",Adventure
"['', 'l', 'o', 'v', 'e', ' ', 't', 'a', 'k', 'e', 's', ' ', 'w', 'i', 'n', 'g', '']",Western
"['', 'm', 'a', 'j', 'o', 'r', ' ', 'd', 'u', 'n', 'd', 'e', 'e', '']",Western
"['', 's', 'h', 'a', 'f', 't', ' ', 'i', 'n', ' ', 'a', 'f', 'r', 'i', 'c', 'a', '']",Adventure
"['', 'c', 'h', 'u', 'k', 'a', '']",Western
"['', 'm', 'i', 'd', 's', 'o', 'm', 'm', 'a', 'r', '']",Horror
"['', 'b', 'e', 'c', 'k', 'y', '']",Horror
"['', 'g', 'o', 'i', 'n', ""'"", ' ', 's', 'o', 'u', 't', 'h', '']",Western
"['', 'h', 'a', 't', 'a', 'r', 'i', '!', '']",Adventure
"['', 'j', 'o', 'h', 'n', ' ', 'c', 'a', 'r', 't', 'e', 'r', '']",Fantasy
"['', 'g', 'u', 'n', 'g', 'a', ' ', 'd', 'i', 'n', '']",Adventure
"['', 't', 'h', 'e', ' ', 'a', 'v', 'e', 'n', 'g', 'i', 'n', 'g', ' ', 'a', 'n', 'g', 'e', 'l', '']",Western
"['', 'm', 'a', 'r', 'o', 'o', 'n', 'e', 'd', '']",Fantasy
"['', 't', 'h', 'e', ' ', 'k', 'i', 'l', 'l', 'e', 'r', ' ', 'e', 'l', 'i', 't', 'e', '']",Action
"['', 'i', 's', 'o', 'l', 'a', 't', 'i', 'o', 'n', '']",Action
"['', '4', '0', '0', ' ', 'd', 'a', 'y', 's', '']",Fantasy
"['', 'd', 'e', 'l', 'i', 'v', 'e', 'r', 'a', 'n', 'c', 'e', '']",Adventure
