title,genre
The Last Mimzy,Fantasy
I Drink Your Blood,Horror
211,Action
Wanda Nevada,Adventure
Blood on the Moon,Western
Beau Geste,Adventure
The Marine,Action
Battledogs,Action
Insidious: Chapter 4,Horror
Peppermint,Action
Last Rites,Horror
X,Horror
The Big Land,Western
Dark Avenger,Adventure
Land of the Lost,Adventure
Deep Core,Fantasy
The Burning Hills,Western
Breaking Point,Action
Hansel and Gretel,Fantasy
Hud,Western
Foxfire,Western
The Homesman,Western
The Horsemen,Adventure
Bug,Fantasy
Robin Hood,Adventure
Outside the Wire,Action
The Mountain Men,Western
The Andromeda Strain,Fantasy
Sky Riders,Adventure
Godzilla,Fantasy
Horns,Horror
Abduction,Action
Street Justice,Action
Fast Getaway,Action
California Conquest,Adventure
The Black Phone,Horror
Deadly Impact,Action
Hoot,Adventure
Gunsmoke in Tucson,Action
Time After Time,Fantasy
xXx,Action
Little Big Man,Western
A Quiet Place,Horror
Necromancy,Horror
City Beneath the Sea,Adventure
The Hand,Horror
Maximum Overdrive,Horror
Crocodile,Horror
The Number One Girl,Action
Bloodeaters,Horror
Federal Protection,Action
Genghis Khan,Adventure
Shogun,Adventure
Three Godfathers,Western
Total Recall,Fantasy
The Lost World,Adventure
2012 Doomsday,Action
Love Takes Wing,Western
We Are Still Here,Horror
Night of the Comet,Fantasy
The Next Man,Adventure
Tombstone,Western
Galaxy Quest,Fantasy
Beauty and the Beast,Fantasy
Abandoned Dead,Horror
Real Steel,Action
Color Me Blood Red,Horror
Tarzan - The Ape Man,Adventure
Man of the West,Western
Hawaii,Adventure
The Hunter's Prayer,Action
Annihilation,Fantasy
A Bucket of Blood,Horror
The Jackal,Action
31,Horror
Shakma,Horror
10.5,Action
Alien Apocalypse,Action
Beauty and the Beast,Fantasy
The Golden Compass,Fantasy
Legacy of Satan,Horror
Men in Black III,Action
The Appaloosa,Western
The Guardian,Action
Green Dolphin Street,Adventure
Final Impact,Action
Leprechaun 2,Horror
Bad Country,Action
Warlock,Horror
Old Yeller,Adventure
Badman's Country,Western
Speak No Evil,Horror
Comanche Territory,Western
The Arrival,Fantasy
White Fury,Action
Demon Seed,Fantasy
Bad Ass,Action
The Postman,Western
Tom Sawyer,Adventure
Rolling Thunder,Action
Rock Monster,Fantasy
Fort Apache,Western
Bridge to Terabithia,Fantasy
The Final Wish,Horror
Saddle Tramp,Western
The Djinn,Horror
Hatchet II,Action
To Die For,Horror
Into the Badlands,Adventure
Alien 3,Fantasy
Simon Sez,Action
Big Bad Mama,Action
The Magic Sword,Fantasy
Lost City of D,Action
The Debt Collector,Action
King Cobra,Horror
American Sniper,Action
Color Out of Space,Fantasy
Lone Rider,Western
The Hurricane Heist,Action
Prince Valiant,Adventure
Strait-Jacket,Horror
Hired to Kill,Action
The Island,Adventure
The Virginian,Western
After the Sunset,Action
Arctic Predator,Action
Swelter,Action
The Stairs,Horror
In the Shadows,Action
10th & Wolf,Action
The Red Right Hand,Horror
Jumper,Fantasy
The Red Pony,Adventure
Sea Devils,Adventure
Ghost Town,Western
Showdown,Western
Pan,Fantasy
Kickboxer,Action
Constantine,Horror
Gunga Din,Adventure
Parasomnia,Horror
Cattle King,Western
Mark of the Vampire,Horror
The Hanging Tree,Western
Extreme Days,Action
Prisoner of Zenda,Adventure
It Comes at Night,Horror
The Light Touch,Adventure
Faster,Action
Tobor the Great,Fantasy
St. Ives,Action
Silver Bullet,Horror
Money Train,Action
China Gate,Action
The Ministers ,Action
Space Warriors,Adventure
Global Effect,Action
A Wrinkle in Time,Fantasy
Bullet to the Head,Action
Trauma Center,Action
Code Name: Vengeance,Action
Blood Beach,Horror
Pony Soldier,Western
One-Eyed Jacks,Western
Freaks,Horror
R.I.P.D.,Action
Gale Force,Adventure
Starship Troopers,Fantasy
The Predator,Fantasy
Jubal,Western
Blacklight,Action
If You Believe,Fantasy
Killing Streets,Adventure
Ticking Clock,Action
Mortuary,Horror
Tau,Fantasy
All Is Lost,Action
Gutshot Straight,Action
Io,Fantasy
The Space Children,Fantasy
Submerged,Action
The Macomber Affair,Adventure
The Danger Zone,Action
Town Tamer,Western
Testament,Action
Small Soldiers,Fantasy
Cat Chaser,Action
Summer's Blood,Horror
Friendly Persuasion,Western
Fear Street: 1978,Horror
Captains Corageous,Adventure
Growth,Horror
Gleaming the Cube,Adventure
The Plainsman,Western
Demon Knight,Horror
Dead Birds,Horror
Speedy,Action
Knightrider 2000,Adventure
A Dead Calling,Horror
Fallen,Fantasy
Minority Report,Fantasy
Maiden Voyage,Action
Colt .45,Western
The War Wagon,Western
Rosebud,Adventure
Boogeyman 3,Horror
The Prince,Action
Heartbeeps,Fantasy
Bad Samaritan,Horror
The Last Wagon,Western
The Fog,Horror
Cellar Dweller,Horror
The Lonely Man,Western
One Hundred Rifles,Adventure
Shaft,Action
The Prophecy II,Horror
Thinner,Horror
Trouble Bound,Action
Man in the Shadow?,Western
Zulu Dawn,Adventure
The Ward,Horror
1408,Horror
The Legend of Zorro,Adventure
The Exorcist III,Horror
First Strike,Action
Seven Men From Now,Western
The Remaining,Horror
The Omega Code,Fantasy
The Assassin,Action
Them!,Fantasy
Love and a .45,Action
Against the Sun,Adventure
Nope,Horror
Virginia City,Western
California Passage,Western
Altered States,Fantasy
Terrifier,Horror
Nightlight,Horror
The Midnight Hour,Horror
Man from Del Rio,Western
Rabbits,Fantasy
Supernova,Action
Pete's Dragon,Fantasy
Night Angel,Horror
Seconds,Fantasy
Hickok,Western
Willard,Horror
Iron Will,Adventure
Project Eliminator,Action
Rattlesnake,Horror
The Viking Sagas,Adventure
Crawlspace,Horror
Back to the Future,Fantasy
The Night House,Horror
The Rendezvous,Action
Dead Ant,Horror
Brenda Starr,Adventure
The Tall Texan,Western
The 6th Day,Fantasy
On the Road,Adventure
Deadpool 2,Action
Rio Conchos,Western
Ozark Sharks,Action
Escape Plan,Action
Station West,Western
The Gallows,Horror
Blood Out,Action
The Witches,Fantasy
McBain,Action
Born to the West,Western
Dawn of the Dead,Horror
Dracula's Daughter,Horror
Blacula,Horror
The Dentist 2,Horror
The Strangler,Horror
Power Rangers,Action
Planet of the Apes,Fantasy
Surviving the Game,Action
Road Wars,Action
The Mangler,Horror
Anaconda,Adventure
Trancers ,Action
Ouija,Horror
Alice in Wonderland,Fantasy
Late Phases,Horror
Evilspeak,Horror
Grandma's House,Horror
Tarzan Goes to India,Adventure
Backlash,Western
Archenemy,Action
Malignant,Horror
The Lazarus Effect,Horror
Children of the Corn,Horror
From Beyond,Horror
Path of Destruction,Action
Desolation Canyon,Western
Gravity,Fantasy
Mercenaries,Action
King Solomon's Mines,Adventure
A Good Man,Action
Ticker,Action
The Sea Hawk,Adventure
Eliminators,Action
Snakes on a Train,Action
47 Ronin,Action
Fatal Instinct,Action
Future World,Fantasy
Home,Horror
Cold Zone,Action
The Warrior's Way,Action
Love's Abiding Joy ,Western
In Old Oklahoma,Western
Re-Animator,Horror
Air America,Adventure
Rosemary's Baby,Horror
Prophecy,Adventure
Innerspace,Fantasy
Nightbooks,Horror
The Fog,Horror
Land Raiders,Western
The Outrage,Western
The Lie,Horror
The Last Outlaw,Western
Riding Shotgun,Western
Ink,Action
The Babysitter,Horror
Alien,Fantasy
Jeremiah Johnson,Western
Oklahoma!,Western
Swordfish,Action
I Am Legend,Fantasy
Takers,Action
Children of the Corn,Horror
Blade Runner,Fantasy
The Jurassic Games,Action
The Son of Kong,Fantasy
Wichita,Western
Tank Girl,Fantasy
The Exile,Adventure
